ÏñÔª	¹âÇ¿
1106	189
1107	189
1108	191
1109	193
1110	193
1111	194
1112	194
1113	195
1114	195
1115	195
1116	194
1117	195
1118	196
1119	195
1120	194
1121	194
1122	194
1123	195
1124	195
1125	194
1126	195
1127	195
1128	194
1129	195
1130	193
1131	193
1132	192
1133	192
1134	192
1135	192
1136	190
1137	190
1138	188
1139	188
1140	186
1141	185
1142	182
1143	181
1144	177
1145	175
1146	169
1147	166
1148	159
1149	154
1150	148
1151	142
1152	136
1153	130
1154	123
1155	117
1156	112
1157	105
1158	 99
1159	 94
1160	 88
1161	 84
1162	 78
1163	 74
1164	 70
1165	 67
1166	 65
1167	 64
1168	 64
1169	 65
1170	 67
1171	 70
1172	 74
1173	 80
1174	 85
1175	 90
1176	 96
1177	102
1178	108
1179	114
1180	119
1181	127
1182	132
1183	137
1184	142
1185	148
1186	153
1187	157
1188	159
1189	163
1190	163
1191	163
1192	161
1193	160
1194	157
1195	154
1196	149
1197	146
1198	140
1199	134
1200	127
1201	122
1202	116
1203	110
1204	103
1205	 98
1206	 92
1207	 86
1208	 80
1209	 75
1210	 71
1211	 66
1212	 63
1213	 59
1214	 56
1215	 53
1216	 50
1217	 49
1218	 46
1219	 44
1220	 43
1221	 42
1222	 42
1223	 42
1224	 41
1225	 41
1226	 40
1227	 39
1228	 39
1229	 39
1230	 40
1231	 40
1232	 40
1233	 40
1234	 40
1235	 41
1236	 41
1237	 42
1238	 43
1239	 44
1240	 47
1241	 48
1242	 51
1243	 56
1244	 61
1245	 67
1246	 75
1247	 82
1248	 89
1249	 96
1250	103
1251	110
1252	117
1253	123
1254	129
1255	135
1256	141
1257	147
1258	154
1259	159
1260	164
1261	170
1262	174
1263	178
1264	181
1265	185
1266	186
1267	190
1268	191
1269	193
1270	194
1271	195
1272	195
1273	197
1274	198
1275	199
1276	199
1277	198
1278	197
1279	197
1280	197
1281	195
1282	193
1283	192
1284	189
1285	187
1286	183
1287	180
1288	174
1289	169
1290	162
1291	155
1292	147
1293	141
1294	133
1295	127
1296	121
1297	115
1298	109
1299	104
1300	 97
1301	 92
1302	 86
1303	 82
1304	 77
1305	 73
1306	 69
1307	 68
1308	 66
1309	 65
1310	 65
1311	 65
1312	 68
1313	 72
1314	 77
1315	 83
1316	 89
1317	 95
1318	103
1319	109
1320	116
1321	123
1322	128
1323	135
1324	141
1325	147
1326	152
1327	157
1328	162
1329	167
1330	172
1331	176
1332	180
1333	184
1334	186
1335	189
1336	191
1337	194
1338	194
1339	196
1340	197
1341	199
1342	199
1343	199
1344	199
1345	200
1346	200
1347	200
1348	199
1349	199
1350	198
1351	195
1352	194
1353	191
1354	187
1355	184
1356	178
1357	172
1358	164
1359	156
1360	149
1361	142
1362	134
1363	127
1364	119
1365	114
1366	108
1367	102
1368	 95
1369	 90
1370	 84
1371	 79
1372	 74
1373	 70
1374	 67
1375	 62
1376	 60
1377	 57
1378	 55
1379	 53
1380	 51
1381	 48
1382	 47
1383	 45
1384	 43
1385	 42
1386	 42
1387	 41
1388	 39
1389	 40
1390	 40
1391	 40
1392	 39
1393	 39
1394	 39
1395	 39
1396	 40
1397	 40
1398	 40
1399	 40
1400	 40
1401	 40
1402	 42
1403	 43
1404	 44
1405	 46
1406	 50
1407	 54
1408	 60
1409	 66
1410	 74
1411	 82
1412	 92
1413	 99
1414	107
1415	113
1416	120
1417	127
1418	133
1419	139
1420	144
1421	148
1422	151
1423	153
1424	153
1425	151
1426	150
1427	147
1428	142
1429	137
1430	133
1431	127
1432	122
1433	118
1434	111
1435	107
1436	102
1437	 97
1438	 92
1439	 86
1440	 82
1441	 79
1442	 75
1443	 71
1444	 68
1445	 65
1446	 63
1447	 61
1448	 59
1449	 57
1450	 58
1451	 59
1452	 61
1453	 63
1454	 65
1455	 70
1456	 76
1457	 83
1458	 91
1459	 99
1460	107
1461	115
1462	121
1463	128
1464	134
1465	137
1466	142
1467	145
1468	149
1469	154
1470	156
1471	157
1472	156
1473	155
1474	150
1475	145
1476	140
1477	133
1478	126
1479	121
1480	117
1481	112
1482	106
1483	101
1484	 95
1485	 91
1486	 86
1487	 82
1488	 77
1489	 72
1490	 67
1491	 65
1492	 62
1493	 60
1494	 56
1495	 55
1496	 53
1497	 53
1498	 53
1499	 53
1500	 53
1501	 55
1502	 58
1503	 64
1504	 71
1505	 81
1506	 91
1507	100
1508	109
1509	116
1510	123
1511	129
1512	135
1513	139
1514	145
1515	150
1516	154
1517	157
1518	159
1519	160
1520	157
1521	153
1522	146
1523	139
1524	132
1525	125
1526	121
1527	115
1528	109
1529	104
1530	 99
1531	 94
1532	 90
1533	 86
1534	 81
1535	 77
1536	 72
1537	 68
1538	 65
1539	 61
1540	 59
1541	 57
1542	 55
1543	 53
1544	 52
1545	 51
1546	 50
1547	 49
1548	 47
1549	 45
1550	 44
1551	 43
1552	 42
1553	 41
1554	 42
